Person,Organization,City,Country,Start,End,Trip Group,Venue,Meeting,Agenda,CMD,ID
Rex Tillerson,US Government,"Washington, DC",United States,1/12/2018,1/12/2018,,,Adel al-Jubeir,Bilateral Meeting with Saudi Foreign Minister,,
Donald Trump,US Government,"Washington, DC",United States,1/17/2018,1/17/2018,,,Nursultan Nazarbayev,Bilateral Meeting with Kazakh President,,
John Sullivan,US Government,"Washington, DC",United States,1/17/2018,1/17/2018,,,Lim Sing-Nam,Bilateral Meeting with Korean Vice Foreign Minister,,
Mark Green,US Government,"Washington, DC",United States,1/17/2018,1/17/2018,,,Petri Gormiztka,Bilateral Meeting with OECD DAC Chair,,
Tom Shannon,US Government,"Washington, DC",United States,1/17/2018,1/17/2018,,,David Miliband,Bilateral Meeting with International Rescue Committee Chair,,
Tom Shannon,US Government,"Washington, DC",United States,1/17/2018,1/17/2018,,,Abdulaziz Kamilov,Bilateral Meeting with Uzbek Foreign Minister,,
Kristalina Georgieva,World Bank,Tashkent,Uzbekistan,1/18/2018,1/18/2018,,,Djamshid Kuchkarov,Bilateral Meetings with Finance Minister,,
Kristalina Georgieva,World Bank,Tashkent,Uzbekistan,1/18/2018,1/18/2018,,,Sukhrob Kholmurodov,Bilateral Meetings with Deputy PM,,
Kristalina Georgieva,World Bank,Tashkent,Uzbekistan,1/18/2018,1/18/2018,,,Shavkat Mirziyoyev,Bilateral Meetings with PM,,
Mike Pence,US Government,Cairo,Egypt,1/20/2018,1/20/2018,,,Abdel Fattah el-Sisi,Bilateral Meetings,,
Mike Pence,US Government,Amman,Jordan,1/21/2018,1/21/2018,,,Ali bin Al Hussein,Bilateral Meetings,,
Rex Tillerson,US Government,London,UK,1/21/2018,1/22/2018,,,,Bilateral Meeting with UK Foreign Secretary Boris Johnson,,
Mike Pence,US Government,Jerusalem,Israel,1/22/2018,1/22/2018,,,,Bilateral Meetings,,
Rex Tillerson,US Government,Paris,France,1/22/2018,1/23/2018,,,,Bilateral Meetings with French Government,,
Donald Trump,US Government,Davos,Switzerland,1/23/2018,1/26/2018,,World Economic Forum,,World Economic Forum,,
Jim Kim,World Bank,Davos,Switzerland,1/23/2018,1/23/2018,,World Economic Forum,Dara Khosrowshahi,Bilateral Meeting with Uber CEO,,
Kristalina Georgieva,World Bank,Davos,Switzerland,1/23/2018,1/23/2018,,World Economic Forum,Bill Morneau,Bilateral Meetings with Canadian Finance Minister,,
Kristalina Georgieva,World Bank,Davos,Switzerland,1/23/2018,1/23/2018,,World Economic Forum,George Soros,Lunch,,
Tom Shannon,US Government,Monrovia,Liberia,1/23/2018,1/26/2018,,,,Bilateral Meetings with Liberian Government,,
Gary Cohen,US Government,Davos,Switzerland,1/24/2018,1/26/2018,,World Economic Forum,,World Economic Forum,,
H.R. McMaster,US Government,Davos,Switzerland,1/24/2018,1/26/2018,,World Economic Forum,,World Economic Forum,,
Jared Kushner,US Government,Davos,Switzerland,1/24/2018,1/26/2018,,World Economic Forum,,World Economic Forum,,
John Kelly,US Government,Davos,Switzerland,1/24/2018,1/26/2018,,World Economic Forum,,World Economic Forum,,
Kirstjen Nielsen,US Government,Davos,Switzerland,1/24/2018,1/26/2018,,World Economic Forum,,World Economic Forum,,
Kristalina Georgieva,World Bank,Davos,Switzerland,1/24/2018,1/24/2018,,World Economic Forum,Mark Suzman,Meeting with Bill & Melinda Gates Representative,,
Kristalina Georgieva,World Bank,Davos,Switzerland,1/24/2018,1/24/2018,,World Economic Forum,Queen Mathilde of Belgium,Bilateral Meeting with Queen of Belgium,,
Perry Acosta,US Government,Davos,Switzerland,1/24/2018,1/26/2018,,World Economic Forum,,World Economic Forum,,
Rex Tillerson,US Government,Davos,Switzerland,1/24/2018,1/26/2018,,World Economic Forum,,World Economic Forum,,
Steve Mnuchin,US Government,Davos,Switzerland,1/24/2018,1/26/2018,,World Economic Forum,,World Economic Forum,,
Jim Kim,World Bank,Davos,Switzerland,1/25/2018,1/25/2018,,World Economic Forum,Joachim Wenning,Bilateral Meeting with Chairman of Munich Re,,
Jim Kim,World Bank,Davos,Switzerland,1/25/2018,1/25/2018,,World Economic Forum,Frans van Houten,Bilateral Meeting with Royal Philips CEO,,
Kristalina Georgieva,World Bank,Davos,Switzerland,1/25/2018,1/25/2018,,World Economic Forum,Hasssan Ali Khaire,Bilateral Meeting with Somali PM,,
Rex Tillerson,US Government,Warsaw,Poland,1/26/2018,1/27/2018,,,,,,
Jim Kim,World Bank,Dakar,Senegal,2/1/2018,2/4/2018,,One Planet Summit,Emmanuel Macron,Bilateral Meeting with French President,,
